Year,Month,Economic Sector,PermitCount
2021,Jan,J - Information & Communication Activities,494
2021,Jan,K - Financial & insurance Activities,61
2021,Jan,"C - Manufacture of Computers, Electronics & Optica",2
2021,Jan,"A - Agriculture, Forestry & Fishing",53
2021,Jan,C - All Other Manufacturing,24
2021,Jan,C - Manufacture of Chemicals & Pharmaceuticals,39
2021,Jan,"C - Manufacture of Food, Drink & Tobacco",10
2021,Jan,C - Manufacture of Medical Devices,5
2021,Jan,D - Electricity & Gas & Air Conditioning Supply,1
2021,Jan,E - Water Supply - Sewerage Waste Management & Rem,1
2021,Jan,F - Construction,31
2021,Jan,G - Wholesale & Retail Trade,8
2021,Jan,H - Transport & Storage,12
2021,Jan,I - Accommodation & Food Services activities,57
2021,Jan,"M - All other Professional, Scientific & Technical",8
2021,Jan,"M - Professional, Scientific&Technical Activities",5
2021,Jan,N - Administrative & Support Service Activities,3
2021,Jan,P - Education,7
2021,Jan,Q - Health & Social Work Activities,482
2021,Jan,"R - Arts , Entertainment and Recreation",10
2021,Jan,S - Other Service activities,55
2021,Jan,B - Mining & Quarrying,0
2021,Jan,L - Real Estate Activities,1
2021,Jan,O - Public Administration & Defence,0
2021,Jan,T - Domestic- Activities of Households as Employer,0
2021,Feb,J - Information & Communication Activities,300
2021,Feb,K - Financial & insurance Activities,65
2021,Feb,"C - Manufacture of Computers, Electronics & Optica",3
2021,Feb,"A - Agriculture, Forestry & Fishing",30
2021,Feb,C - All Other Manufacturing,16
2021,Feb,C - Manufacture of Chemicals & Pharmaceuticals,28
2021,Feb,"C - Manufacture of Food, Drink & Tobacco",10
2021,Feb,C - Manufacture of Medical Devices,8
2021,Feb,D - Electricity & Gas & Air Conditioning Supply,6
2021,Feb,E - Water Supply - Sewerage Waste Management & Rem,0
2021,Feb,F - Construction,49
2021,Feb,G - Wholesale & Retail Trade,12
2021,Feb,H - Transport & Storage,20
2021,Feb,I - Accommodation & Food Services activities,76
2021,Feb,"M - All other Professional, Scientific & Technical",11
2021,Feb,"M - Professional, Scientific&Technical Activities",6
2021,Feb,N - Administrative & Support Service Activities,1
2021,Feb,P - Education,5
